Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,170,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,171,19956947-03,Este valor no esta en el archivo de códigos
Advertencia,AM,172,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,173,B03BF014011,Este valor no esta en el archivo de códigos
Advertencia,AM,174,19965399-06,Este valor no esta en el archivo de códigos
Advertencia,AM,175,19914806-03,Este valor no esta en el archivo de códigos
Advertencia,AM,176,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,177,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,178,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,179,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,180,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,181,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,182,19955566-01,Este valor no esta en el archivo de códigos
Advertencia,AM,183,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,184,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,185,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,186,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,187,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,188,19955566-01,Este valor no esta en el archivo de códigos
Advertencia,AM,189,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,190,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,191,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,192,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,193,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,194,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,195,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,196,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,197,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,198,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,199,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,200,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,201,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,202,L01BM018011,Este valor no esta en el archivo de códigos
Advertencia,AM,203,19936296-05,Este valor no esta en el archivo de códigos
